Date,Workout
2022-12-06 Dienstag,"['Indoor Bouldering', 'Warm Up Protocol - Bouldering']"
2022-12-08 Donnerstag,"['Indoor Bouldering', 'Warm Up Protocol - Bouldering']"
2022-12-11 Sonntag,['Warm Up Protocol - Route Climbing']
2022-12-13 Dienstag,"['Warm Up Protocol - Bouldering', 'Indoor Bouldering']"
2022-12-15 Donnerstag,['Indoor Route Climbing']
2022-12-27 Dienstag,"['Warm Up Protocol - Bouldering', 'Indoor Bouldering']"
2022-12-30 Freitag,"['Indoor Bouldering', 'Warm Up Protocol - Bouldering']"
